complaint_id,customer_id,category,status,created_at,resolution_time_hours
CMP0001,CUST0015,BILLING,OPEN,2026-03-23T06:24:32,
CMP0002,CUST0070,CUSTOMER_SERVICE,OPEN,2026-04-03T12:58:32,
CMP0003,CUST0028,CUSTOMER_SERVICE,RESOLVED,2026-04-30T01:38:32,18.39
CMP0004,CUST0058,BILLING,IN_PROGRESS,2026-07-03T23:40:32,
CMP0005,CUST0036,SLOW_INTERNET,OPEN,2026-04-16T00:26:32,
CMP0006,CUST0013,BILLING,OPEN,2026-05-23T01:32:32,
CMP0007,CUST0069,REFUND,ESCALATED,2026-04-10T10:30:32,
CMP0008,CUST0025,INTERNET_OUTAGE,OPEN,2026-07-24T23:27:32,
CMP0009,CUST0030,INTERNET_OUTAGE,OPEN,2026-08-23T10:51:32,
CMP0010,CUST0021,BILLING,OPEN,2026-05-25T02:28:32,
CMP0011,CUST0022,SLOW_INTERNET,IN_PROGRESS,2026-06-23T22:49:32,
CMP0012,CUST0072,BILLING,IN_PROGRESS,2026-04-27T16:38:32,
CMP0013,CUST0052,INTERNET_OUTAGE,OPEN,2026-05-06T10:54:32,
CMP0014,CUST0051,REFUND,IN_PROGRESS,2026-08-26T18:22:32,
CMP0015,CUST0072,BILLING,ESCALATED,2026-06-24T19:57:32,
CMP0016,CUST0018,REFUND,IN_PROGRESS,2026-06-19T11:17:32,
CMP0017,CUST0021,REFUND,ESCALATED,2026-08-09T21:46:32,
CMP0018,CUST0060,BILLING,RESOLVED,2026-06-23T00:52:32,58.47
CMP0019,CUST0015,REFUND,OPEN,2026-05-11T03:27:32,
CMP0020,CUST0065,SLOW_INTERNET,IN_PROGRESS,2026-08-04T10:11:32,
CMP0021,CUST0048,SLOW_INTERNET,ESCALATED,2026-08-04T12:35:32,
CMP0022,CUST0015,BILLING,RESOLVED,2026-09-03T20:25:32,20.73
CMP0023,CUST0073,INTERNET_OUTAGE,IN_PROGRESS,2026-09-07T02:25:32,
CMP0024,CUST0017,REFUND,RESOLVED,2026-04-11T02:05:32,8.26
CMP0025,CUST0070,SLOW_INTERNET,ESCALATED,2026-08-03T04:56:32,
CMP0026,CUST0057,CUSTOMER_SERVICE,OPEN,2026-08-29T11:36:32,
CMP0027,CUST0009,INTERNET_OUTAGE,RESOLVED,2026-05-19T06:15:32,61.17
CMP0028,CUST0008,INTERNET_OUTAGE,RESOLVED,2026-04-29T09:23:32,58.31
CMP0029,CUST0031,REFUND,ESCALATED,2026-05-08T09:49:32,
CMP0030,CUST0061,REFUND,OPEN,2026-08-12T17:08:32,
CMP0031,CUST0046,REFUND,ESCALATED,2026-06-03T19:46:32,
CMP0032,CUST0008,BILLING,OPEN,2026-05-31T00:12:32,
CMP0033,CUST0069,SLOW_INTERNET,RESOLVED,2026-06-08T09:09:32,59.89
CMP0034,CUST0032,INTERNET_OUTAGE,RESOLVED,2026-08-24T21:49:32,41.99
CMP0035,CUST0002,INTERNET_OUTAGE,OPEN,2026-09-11T02:44:32,
CMP0036,CUST0062,REFUND,OPEN,2026-04-26T15:00:32,
CMP0037,CUST0050,REFUND,IN_PROGRESS,2026-05-05T23:49:32,
CMP0038,CUST0063,SLOW_INTERNET,RESOLVED,2026-04-15T21:27:32,70.95
CMP0039,CUST0070,BILLING,IN_PROGRESS,2026-03-29T19:27:32,
CMP0040,CUST0068,INTERNET_OUTAGE,OPEN,2026-04-16T08:58:32,
CMP0041,CUST0009,SLOW_INTERNET,ESCALATED,2026-07-19T15:10:32,
CMP0042,CUST0075,INTERNET_OUTAGE,RESOLVED,2026-07-04T22:37:32,33.19
